resources_count,followers_count,honor_score,views_count,likes_count,favorites_count,comments_count,duration,title,embed_url
7,161,129,625,6,1,1,01:33,"Noto, Sicily in 4K",https://www.djivideos.com/video_play/b0bbb2fd-10fe-4bd2-a322-650a87b8871a
630,5200,8097,9961,32,12,12,03:18,CHEERS!干杯吧，西海岸新区,https://www.djivideos.com/video_play/e1a28ee1-656b-4c37-ac0b-e45c7edcdd6d
132,284,1129,3670,49,20,15,02:28,初探西藏,https://www.djivideos.com/video_play/eefd546b-8e5f-4936-9397-04b073bb996c
90,1242,2271,6264,47,7,8,01:22,夏末的上海佘山,https://www.djivideos.com/video_play/82e8d038-4250-4d87-b474-27d563cd4601
630,5200,8097,20847,81,20,13,04:07,那片海 The Sea |青岛世界博览城系列短片04 ,https://www.djivideos.com/video_play/d6a6e9ea-164f-42cc-b2ca-be6f0bbd6891
25,155,204,77728,904,49,77,04:38,一万公里的约定.mp4,https://www.djivideos.com/video_play/e1bfe429-2f6b-485c-9c8c-f1ce91eea0a9
8,66,180,59034,2230,7,23,04:58,魔幻海景 THE MAGIC OCEAN VIEWS,https://www.djivideos.com/video_play/0eede473-24a4-4c37-b687-6f77ed620400
238,5845,6381,72324,2604,25,83,04:56,御见丽贝，Blue blue splendid blue,https://www.djivideos.com/video_play/3c73be4d-abf3-48f2-8b9c-5ccd7ceaea04
137,879,1264,150217,2800,57,120,02:27,这里是上海,https://www.djivideos.com/video_play/f4ea4a07-1887-49d6-83ed-e4d7a2cbfb0e
71,20532,3172,278714,543,246,107,06:57,Trip to EU 2017 1080P.mp4,https://www.djivideos.com/video_play/d5d0ce72-071f-4b47-81d7-663a6f3b897d
24,78,140,13789,88,24,6,04:06,大陈印迹 绝美台州大陈岛航拍 ,https://www.djivideos.com/video_play/2cb79003-30a4-4f00-ac81-83d9d45b355c
78,8653,2283,65327,95,92,12,06:27,只需5个技巧，小白也能拍出旅行大片！,https://www.djivideos.com/video_play/e208e66e-ed9f-4316-b30d-d814438778cd
7,161,129,625,6,1,1,01:33,"Noto, Sicily in 4K",https://www.djivideos.com/video_play/b0bbb2fd-10fe-4bd2-a322-650a87b8871a
630,5200,8097,9961,32,12,12,03:18,CHEERS!干杯吧，西海岸新区,https://www.djivideos.com/video_play/e1a28ee1-656b-4c37-ac0b-e45c7edcdd6d
132,284,1129,3670,49,20,15,02:28,初探西藏,https://www.djivideos.com/video_play/eefd546b-8e5f-4936-9397-04b073bb996c
90,1242,2271,6264,47,7,8,01:22,夏末的上海佘山,https://www.djivideos.com/video_play/82e8d038-4250-4d87-b474-27d563cd4601
630,5200,8097,20847,81,20,13,04:07,那片海 The Sea |青岛世界博览城系列短片04 ,https://www.djivideos.com/video_play/d6a6e9ea-164f-42cc-b2ca-be6f0bbd6891
25,155,204,77728,904,49,77,04:38,一万公里的约定.mp4,https://www.djivideos.com/video_play/e1bfe429-2f6b-485c-9c8c-f1ce91eea0a9
8,66,180,59034,2230,7,23,04:58,魔幻海景 THE MAGIC OCEAN VIEWS,https://www.djivideos.com/video_play/0eede473-24a4-4c37-b687-6f77ed620400
238,5845,6381,72324,2604,25,83,04:56,御见丽贝，Blue blue splendid blue,https://www.djivideos.com/video_play/3c73be4d-abf3-48f2-8b9c-5ccd7ceaea04
137,879,1264,150217,2800,57,120,02:27,这里是上海,https://www.djivideos.com/video_play/f4ea4a07-1887-49d6-83ed-e4d7a2cbfb0e
71,20532,3172,278714,543,246,107,06:57,Trip to EU 2017 1080P.mp4,https://www.djivideos.com/video_play/d5d0ce72-071f-4b47-81d7-663a6f3b897d
24,78,140,13789,88,24,6,04:06,大陈印迹 绝美台州大陈岛航拍 ,https://www.djivideos.com/video_play/2cb79003-30a4-4f00-ac81-83d9d45b355c
78,8653,2283,65327,95,92,12,06:27,只需5个技巧，小白也能拍出旅行大片！,https://www.djivideos.com/video_play/e208e66e-ed9f-4316-b30d-d814438778cd
106,921,2522,14939,109,35,12,01:38,My Trip through Italy,https://www.djivideos.com/video_play/28ea2aaf-cb37-4351-8a8a-35391ec6a304
100,1972,2507,20047,98,28,21,02:11,【遇见.纳木措】西藏航拍,https://www.djivideos.com/video_play/4e7d556d-6329-41a5-b7bc-e6cacb995eef
58,1172,1012,19265,105,52,8,03:24,内蒙古锡林郭勒——自驾游,https://www.djivideos.com/video_play/8442e5ef-60ce-4319-9608-b734bab3ff20
161,1869,5367,11842,70,34,15,02:29,SunsetBeachFestival 2017,https://www.djivideos.com/video_play/503023bb-c04d-4e5c-956a-e3f9ca5beb60
38,689,529,52296,431,203,73,03:39,大理之行By汤唯的晚秋,https://www.djivideos.com/video_play/bb15db95-ff74-469f-a97e-b9d4f50ff9ad
26,57,107,28138,63,34,8,04:00,Spectrum of Western China,https://www.djivideos.com/video_play/cf6ffdd8-8504-4841-93c9-e98683ef1760
630,5200,8097,35224,123,59,12,02:49,HERO | 英雄,https://www.djivideos.com/video_play/aa06b1ec-ad00-4088-abe8-61ad981f559c
74,897,1331,22988,54,19,7,02:40,秘境 巴拉格宗,https://www.djivideos.com/video_play/ac8b5063-3d79-4199-a7a9-ece53699dcda
100,1972,2507,36139,164,85,17,02:29,【遇见.西藏】航拍旅途,https://www.djivideos.com/video_play/4d3e8f32-93ce-41e8-b033-2dbb47a1874d
33,732,583,20500,83,30,11,09:01,2017哥伦比亚168越野赛纪录片,https://www.djivideos.com/video_play/794a0a3e-df5f-49fe-9328-88fd024a5940
630,5200,8097,50009,68,14,11,02:27,Coming Home  | 世界博览城系列短片03《回家》,https://www.djivideos.com/video_play/7ec056bc-1d9b-426e-b58b-60198e0b83dc
40,939,735,33812,251,57,21,00:53,HighFlyingRunner: July 2017,https://www.djivideos.com/video_play/da7a13ae-6b10-43b9-9bbf-d4f4ccb3061b
144,663,988,22609,63,31,13,03:44,新疆快剪.mp4,https://www.djivideos.com/video_play/b13f408c-b05a-430d-bf1a-7babe43cce2a
22,459,356,28553,143,52,16,04:20,Fast & Furious Of My Team;星空版的速度与激情,https://www.djivideos.com/video_play/87327a63-6fd2-4598-b91d-bd94d9c05c5f
43,102,334,23446,105,34,10,01:35,二郎山风光-Mavic 穿云之旅,https://www.djivideos.com/video_play/1390a087-7f31-4b1b-94ef-4f59e5b65404
119,5658,4882,32126,196,81,26,03:51,Dreamlife,https://www.djivideos.com/video_play/db277395-1065-49c9-97c8-dd1968f6b1d2
29,33,289,3047,13,1,0,03:46,"OVER SOME PLACE - ""Shelter Village""",https://www.djivideos.com/video_play/73d53f93-6f90-4613-9916-0303f289f627
23,293,737,27520,83,25,3,02:18,Summit,https://www.djivideos.com/video_play/441bc391-125c-4fb0-82ae-2e77351759dd
26,525,574,15147,77,13,4,04:26,Father and Son Journey Through Armenia and Georgia ,https://www.djivideos.com/video_play/9e98878d-e741-4496-bb9e-3f23d14fb74d
14,81,370,19358,85,23,6,02:21,Moments from Scotland,https://www.djivideos.com/video_play/7f01b72d-60f8-4964-8e42-8850023f4e54
22,75,202,12604,49,17,17,04:59,Home: The Philippines From a New Perspective,https://www.djivideos.com/video_play/79273d46-10df-48d6-9c4b-a7efda02eb69
134,1677,3032,26696,132,44,15,02:29,2017澳洲自驾.m4v,https://www.djivideos.com/video_play/fa209dbe-afa0-4ba6-85c2-ef2ffa259216
33,770,1818,24066,87,19,19,03:10,Night Shift 子夜,https://www.djivideos.com/video_play/bcbc64bb-2e5e-493b-9fca-e656f7dc4cb1
341,1078,3053,14107,41,13,1,05:09,遇见中土世界 广袤新西兰 Meet New Zealand,https://www.djivideos.com/video_play/8a53852a-69ea-4704-a1d1-fcc99ccc8ec8
14,116,171,24346,79,23,7,01:38,HIDDEN PARADISE - WHITING BEACH - AUSTRALIA,https://www.djivideos.com/video_play/718472be-8a0e-45c6-ad3f-2b3aefacd701
30,317,578,18195,51,14,5,00:38,LAGUNA VERDE,https://www.djivideos.com/video_play/f6b15b15-2d36-49c0-b197-fd5af254bfb4
28,292,920,82208,298,88,45,03:00,The City of Cape Town,https://www.djivideos.com/video_play/3933698e-9863-4cca-8347-03d5987781cf
30,317,578,32599,200,67,31,00:48,GOAL FINAL LIGA AGUILA 2017,https://www.djivideos.com/video_play/e4fa4621-53dd-4dc4-949f-b5618209f29a
101,62,297,8726,34,13,1,09:08,加拿大落基山脉冬季航拍集锦,https://www.djivideos.com/video_play/c8c8de3a-19df-4b50-8379-86f85b126f1b
1,62,65,23260,62,11,6,02:24,冬天的贝加尔湖,https://www.djivideos.com/video_play/ff5ddbcf-b099-4dce-937f-35b6d5e399d0
91,475,1742,33131,146,59,13,01:52,Drone Promotions 2017 Lake Tahoe Reel - 4k,https://www.djivideos.com/video_play/52fd12b7-ef8f-4c51-a3ec-6c347c28b8c3
